uid,givenName,sn,mail,uidNumber,gidNumber,homeDirectory,loginShell,employeeType,telephoneNumber,mobile,homePhone,fax,pager
jsmith,John,Smith,jsmith@example.com,10001,10001,/home/jsmith,/bin/bash,employee,555-0101,555-0102,,,
ajones,Alice,Jones,ajones@example.com,10002,10002,/home/ajones,/bin/bash,employee,,555-0201,,,
bwilson,Bob,Wilson,bwilson@example.com,10003,10003,/home/bwilson,/bin/bash,employee,555-0301,,,,
cgarcia,Carlos,Garcia,cgarcia@example.com,10004,10004,/home/cgarcia,/bin/bash,contractor,555-0401,555-0402,,,
dlee,Diana,Lee,dlee@example.com,10005,10005,/home/dlee,/bin/bash,employee,,555-0501,,,
ekim,Edward,Kim,ekim@example.com,10006,10006,/home/ekim,/bin/zsh,employee,555-0601,,555-0602,,
fchen,Fiona,Chen,fchen@example.com,10007,10007,/home/fchen,/bin/bash,contractor,,555-0701,,,
gmartin,Grace,Martin,gmartin@example.com,10008,10008,/home/gmartin,/bin/bash,employee,555-0801,555-0802,,,555-0803
hpatel,Hiro,Patel,hpatel@example.com,10009,10009,/home/hpatel,/bin/bash,employee,,555-0901,,,
inovak,Irene,Novak,inovak@example.com,,,,/sbin/nologin,contact,555-1001,555-1002,555-1003,,
